Afbeeldingen;Categorieën;Naam;Prijs;Beschrijving
https://www.coureurlocal.be/wp-content/uploads/2022/12/Propel-advanced-sl-0-300x300.png;Racefiets;Giant Propel Advanced SL 0;12 499,00;Deze nieuwe aeromachine is gemaakt voor alle belangrijke momenten in de koers. De Giant Propel Advanced SL 0 biedt meer aerodynamica, betere afstelbaarheid en meer kansen om te winnen.
https://www.coureurlocal.be/wp-content/uploads/2021/12/langma-advanced-pro-disc-0-di2-300x300.png;Racefiets;Liv Langma Advanced SL Disc;11 999,00;De Liv Langma Advanced SL Disc, die al favoriet is bij klimverslaafden en worldtour racers, is helemaal opnieuw ontworpen waardoor hij nog lichter en stijver is.
https://www.coureurlocal.be/wp-content/uploads/2022/12/Propel-advanced-sl-0-1-300x300.png;Racefiets;Giant TCR Advanced SL Disc 0;11 999,00;De nieuwste generatie van de fiets die al meer dan drie decennia toonaangevend is als het gaat om innovatie in de wielersport. De Giant TCR Advanced SL Disc is de ultieme allrounder voor iedereen die topprestaties wil neerzetten.
https://www.coureurlocal.be/wp-content/uploads/2023/01/stormguard-E-1-300x300.png;E-Mountainbike;Giant Stormguard E+ 1;8 299,00;Met de krachtige nieuwe motor, soepele vering, carbon riemaandrijving en unieke zwevende achterdrager is de nieuwe Giant Stormguard E+ dé SUV onder de e-bikes. Van praktisch dagelijks gebruik tot meerdaagse avonturen, je mogelijkheden zijn oneindig met deze machtige e-bike!
https://www.coureurlocal.be/wp-content/uploads/2022/12/propel-advanced-pro-0-AXS-1-300x300.png;Racefiets;Giant Propel Advanced Pro 0 AXS;6 999,00;Het nieuw ontworpen frame snijdt nog beter door de wind en is ook lichter dan de vorige generatie. Het resultaat? Een Giant Propel Advanced Pro 0 AXS met een racewinnende efficiëntie die bijzonder moeilijk te verslaan is.
https://www.coureurlocal.be/wp-content/uploads/2023/01/stormguard-E-2-300x300.png;E-Mountainbike;Giant Stormguard E+ 2;6 799,00;Met de krachtige nieuwe motor, soepele vering, carbon riemaandrijving en unieke zwevende achterdrager is de nieuwe Giant Stormguard E+ dé SUV onder de e-bikes. Van praktisch dagelijks gebruik tot meerdaagse avonturen, je mogelijkheden zijn oneindig met deze machtige e-bike!
https://www.coureurlocal.be/wp-content/uploads/2022/12/propel-advanced-pro-o-DI2-1-300x300.png;Racefiets;Giant Propel Advanced Pro 0 DI2;6 599,00;Het nieuw ontworpen frame snijdt nog beter door de wind en is ook lichter dan de vorige generatie. Het resultaat? Een Giant Propel Advanced Pro 0 DI2 met een racewinnende efficiëntie die bijzonder moeilijk te verslaan is.
https://www.coureurlocal.be/wp-content/uploads/2021/12/tcr-advanced-pro-o-disc-0-axs-300x300.png;Racefiets;Giant TCR Advanced Pro Disc 0 AXS;6 299,00;In het klimmen, sturen en dalen ervaar je de ongeëvenaarde prestaties van de Giant TCR Advanced Pro Disc. Dit model brengt het fietsen in zowel de bergen als op het vlakke naar een hoger niveau dankzij het lichte, stijve frame en de aero-vormige buizen.
https://www.coureurlocal.be/wp-content/uploads/2021/11/qwic-atlas-zwart-300x300.png;E-bike;QWIC Atlas Vario;5 699,00;Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.
https://www.coureurlocal.be/wp-content/uploads/2021/12/langma-advanced-pro-disc-0-axs-300x300.png;Racefiets;Liv Langma Advanced Pro Disc 0 AXS;5 999,00;Necessary cookies are absolutely essential for the website to function properly. This category only includes cookies that ensures basic functionalities and security features of the website. These cookies do not store any personal information.
